RecommendationID,Gender,BodyType,SkinTone,AestheticID,OccasionID,Topwear,Bottomwear,Footwear,Accessory,CreatedAt
58,Male,Triangle,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
59,Male,Triangle,Fair,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
60,Male,Triangle,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Watch ,2025-05-21 13:57:56
61,Male,Regular,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
62,Male,Regular,Fair,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
63,Male,Regular,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Rose Gold Watch (Rose Gold),2025-05-21 13:57:56
64,Male,Regular,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
65,Male,Regular,Fair,3,1,Graphic Tee (White),Fitted Denim (Dark Blue),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
66,Male,Regular,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Watch ,2025-05-21 13:57:56
67,Male,Inverted Triangle,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
68,Male,Inverted Triangle,Fair,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
69,Male,Inverted Triangle,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Watch ,2025-05-21 13:57:56
70,Male,Oval,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
71,Male,Oval,Fair,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
72,Male,Oval,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Watch ,2025-05-21 13:57:56
73,Male,Rectangle,Brown,2,1,T-shirt (Black) + Tuxedo Jacket (Black),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),No Match,2025-05-21 13:57:56
74,Male,Rectangle,Brown,3,1,T-shirt (White) + Oversized Jacket (Black),Distressed Jeans (Black),Chunky Sneakers (White),No Match,2025-05-21 13:57:56
75,Male,Rectangle,Brown,1,1,T-shirt (White) + Casual Blazer (Light Blue),Linen Pants (White),Sneakers (White),Black & Brown Sunglasses (Black/Brown),2025-05-21 13:57:56
76,Male,Triangle,Brown,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
77,Male,Triangle,Brown,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),No Match,2025-05-21 13:57:56
78,Male,Triangle,Brown,1,1,Satin Shirt (Pastel Pink),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
79,Male,Regular,Brown,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
80,Male,Regular,Brown,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),No Match,2025-05-21 13:57:56
81,Male,Regular,Brown,1,1,Satin Shirt (Pastel Pink),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
82,Male,Regular,Brown,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
83,Male,Regular,Brown,3,1,Graphic Tee (White),Fitted Denim (Dark Blue),Chunky Sneakers (White),No Match,2025-05-21 13:57:56
84,Male,Regular,Brown,1,1,Satin Shirt (Pastel Pink),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
85,Male,Inverted Triangle,Brown,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
86,Male,Inverted Triangle,Brown,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),No Match,2025-05-21 13:57:56
87,Male,Inverted Triangle,Brown,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Sneakers (White),Watch ,2025-05-21 13:57:56
88,Male,Oval,Brown,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
89,Male,Oval,Brown,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),No Match,2025-05-21 13:57:56
90,Male,Oval,Brown,1,1,Satin Shirt (Pastel Pink),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
91,Male,Rectangle,Dark,2,1,Spread Collar Dress Shirt (White),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
92,Male,Rectangle,Dark,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),White Cap (White),2025-05-21 13:57:56
93,Male,Rectangle,Dark,1,1,T-shirt (White) + Casual Blazer (Light Blue),Linen Pants (White),Sneakers (White),Black Buckle Belt (Black),2025-05-21 13:57:56
94,Male,Triangle,Dark,2,1,Spread Collar Dress Shirt (White),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
95,Male,Triangle,Dark,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),White Cap (White),2025-05-21 13:57:56
96,Male,Triangle,Dark,1,1,Oversized Striped Shirt (White & Stripes),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
97,Male,Regular,Dark,2,1,Spread Collar Dress Shirt (White),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
98,Male,Regular,Dark,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),White Cap (White),2025-05-21 13:57:56
99,Male,Regular,Dark,1,1,Oversized Striped Shirt (White & Stripes),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
100,Male,Regular,Dark,2,1,Spread Collar Dress Shirt (White),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
101,Male,Regular,Dark,3,1,Graphic Tee (White),Fitted Denim (Dark Blue),Chunky Sneakers (White),White Cap (White),2025-05-21 13:57:56
102,Male,Regular,Dark,1,1,Oversized Striped Shirt (White & Stripes),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
103,Male,Inverted Triangle,Dark,2,1,Spread Collar Dress Shirt (White),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
104,Male,Inverted Triangle,Dark,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),White Cap (White),2025-05-21 13:57:56
105,Male,Inverted Triangle,Dark,1,1,Oversized Striped Shirt (White & Stripes),Wide-Leg Jeans (White),Sneakers (White),Watch ,2025-05-21 13:57:56
106,Male,Oval,Dark,2,1,Spread Collar Dress Shirt (White),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
107,Male,Oval,Dark,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),White Cap (White),2025-05-21 13:57:56
108,Male,Oval,Dark,1,1,Oversized Striped Shirt (White & Stripes),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
109,Male,Rectangle,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
110,Male,Rectangle,Fair,3,1,T-shirt (White) + Oversized Jacket (Black),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
111,Male,Rectangle,Fair,1,1,T-shirt (Beige) + Casual Blazer (Light Blue),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Rose Gold Watch (Rose Gold),2025-05-21 13:57:56
112,Male,Triangle,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
113,Male,Triangle,Fair,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
114,Male,Triangle,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Watch ,2025-05-21 13:57:56
115,Male,Regular,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
116,Male,Regular,Fair,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
117,Male,Regular,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Watch ,2025-05-21 13:57:56
118,Male,Regular,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
119,Male,Regular,Fair,3,1,Graphic Tee (White),Fitted Denim (Dark Blue),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
120,Male,Regular,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Watch ,2025-05-21 13:57:56
121,Male,Inverted Triangle,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
122,Male,Inverted Triangle,Fair,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
123,Male,Inverted Triangle,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Watch ,2025-05-21 13:57:56
124,Male,Oval,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
125,Male,Oval,Fair,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
126,Male,Oval,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Rose Gold Watch (Rose Gold),2025-05-21 13:57:56
127,Male,Rectangle,Brown,2,1,T-shirt (Black) + Tuxedo Jacket (Black),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),No Match,2025-05-21 13:57:56
128,Male,Rectangle,Brown,3,1,T-shirt (White) + Oversized Jacket (Black),Distressed Jeans (Black),Chunky Sneakers (White),No Match,2025-05-21 13:57:56
129,Male,Rectangle,Brown,1,1,T-shirt (White) + Casual Blazer (Light Blue),Linen Pants (White),Sneakers (White),Black & Brown Sunglasses (Black/Brown),2025-05-21 13:57:56
130,Male,Triangle,Brown,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
131,Male,Triangle,Brown,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),No Match,2025-05-21 13:57:56
132,Male,Triangle,Brown,1,1,Satin Shirt (Pastel Pink),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
133,Male,Regular,Brown,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
134,Male,Regular,Brown,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),No Match,2025-05-21 13:57:56
135,Male,Regular,Brown,1,1,Satin Shirt (Pastel Pink),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
136,Male,Regular,Brown,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
137,Male,Regular,Brown,3,1,Graphic Tee (White),Fitted Denim (Dark Blue),Chunky Sneakers (White),No Match,2025-05-21 13:57:56
138,Male,Regular,Brown,1,1,Satin Shirt (Pastel Pink),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
139,Male,Inverted Triangle,Brown,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
140,Male,Inverted Triangle,Brown,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),No Match,2025-05-21 13:57:56
141,Male,Inverted Triangle,Brown,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Sneakers (White),Watch ,2025-05-21 13:57:56
142,Male,Oval,Brown,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
143,Male,Oval,Brown,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),No Match,2025-05-21 13:57:56
144,Male,Oval,Brown,1,1,Satin Shirt (Pastel Pink),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
145,Male,Rectangle,Dark,2,1,Spread Collar Dress Shirt (White),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
146,Male,Rectangle,Dark,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),White Cap (White),2025-05-21 13:57:56
147,Male,Rectangle,Dark,1,1,T-shirt (White) + Casual Blazer (Light Blue),Linen Pants (White),Sneakers (White),Black Buckle Belt (Black),2025-05-21 13:57:56
148,Male,Triangle,Dark,2,1,Spread Collar Dress Shirt (White),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
149,Male,Triangle,Dark,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),White Cap (White),2025-05-21 13:57:56
150,Male,Triangle,Dark,1,1,Oversized Striped Shirt (White & Stripes),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
151,Male,Regular,Dark,2,1,Spread Collar Dress Shirt (White),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
152,Male,Regular,Dark,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),White Cap (White),2025-05-21 13:57:56
153,Male,Regular,Dark,1,1,Oversized Striped Shirt (White & Stripes),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
154,Male,Regular,Dark,2,1,Spread Collar Dress Shirt (White),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
155,Male,Regular,Dark,3,1,Graphic Tee (White),Fitted Denim (Dark Blue),Chunky Sneakers (White),White Cap (White),2025-05-21 13:57:56
156,Male,Regular,Dark,1,1,Oversized Striped Shirt (White & Stripes),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
157,Male,Inverted Triangle,Dark,2,1,Spread Collar Dress Shirt (White),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
158,Male,Inverted Triangle,Dark,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),White Cap (White),2025-05-21 13:57:56
159,Male,Inverted Triangle,Dark,1,1,Oversized Striped Shirt (White & Stripes),Wide-Leg Jeans (White),Sneakers (White),Watch ,2025-05-21 13:57:56
160,Male,Oval,Dark,2,1,Spread Collar Dress Shirt (White),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
161,Male,Oval,Dark,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),White Cap (White),2025-05-21 13:57:56
162,Male,Oval,Dark,1,1,Oversized Striped Shirt (White & Stripes),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
163,Male,Rectangle,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
164,Male,Rectangle,Fair,3,1,T-shirt (White) + Oversized Jacket (Black),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
165,Male,Rectangle,Fair,1,1,T-shirt (Beige) + Casual Blazer (Light Blue),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Black & Brown Sunglasses (Black/Brown),2025-05-21 13:57:56
166,Male,Triangle,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
167,Male,Triangle,Fair,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
168,Male,Triangle,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Watch ,2025-05-21 13:57:56
169,Male,Regular,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
170,Male,Regular,Fair,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
171,Male,Regular,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Watch ,2025-05-21 13:57:56
172,Male,Regular,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
173,Male,Regular,Fair,3,1,Graphic Tee (White),Fitted Denim (Dark Blue),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
174,Male,Regular,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Rose Gold Watch (Rose Gold),2025-05-21 13:57:56
175,Male,Inverted Triangle,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
176,Male,Inverted Triangle,Fair,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
177,Male,Inverted Triangle,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Watch ,2025-05-21 13:57:56
